��������,������,������,���,����

"Гражданин Кейн,""8,3"",,1941,""['Drama, Mystery']"""
"Крестный отец,""9,2"",,1972,""['Crime, Drama']"""
"Волшебник страны Оз,8,,1939,""['Adventure, Family']"""
"Побег из Шоушенка,""9,3"",,1994,[]"
"Криминальное чтиво,""8,9"",,1994,""['Crime, Drama']"""
"Касабланка,""8,5"",,1942,""['Drama, Romance']"""
"Третий человек,""8,1"",,1949,""['Noir, Mystery']"""
"Звёздные войны. Эпизод 5: Империя наносит ответный удар,""8,7"",,1980,""['Action, Adventure']"""
"Список Шиндлера,""8,9"",,1993,""['Biography, Drama']"""
"Апокалипсис сегодня,""8,4"",,1979,""['Drama, Mystery']"""
"Славные парни,""8,7"",,1990,""['Biography, Crime']"""
"Поющие под дождем,""8,3"",,1952,""['Comedy, Musical']"""
"Психо,""8,5"",,1960,""['Horror, Mystery']"""
"2001 год: Космическая одиссея,""8,3"",,1968,""['Adventure, Sci']"""
"Бойцовский клуб,""8,8"",,1999,[]"
"Бешеный бык,""8,2"",,1980,""['Biography, Drama']"""
"Таксист,""8,2"",,1976,""['Crime, Drama']"""
"Семь самураев,""8,6"",,1954,""['Action, Drama']"""
"Чeтыреста ударов,""8,1"",,1959,""['Crime, Drama']"""
"12 разгневанных мужчин,9,,1957,""['Crime, Drama']"""
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу,""8,4"",,1964,""['Comedy, War']"""
"Головокружение,""8,3"",,1958,""['Mystery, Romance']"""
"Хороший, плохой, злой,""8,8"",,1966,""['Adventure, Western']"""
"Огни большого города,""8,5"",,1931,""['Comedy, Drama']"""
"Унесенные ветром,""8,1"",,1939,""['Drama, History']"""
"В порту,""8,1"",,1954,""['Crime, Drama']"""
"Крестный отец 2,9,,1974,""['Crime, Drama']"""
"Темный рыцарь,9,,2008,""['Action, Crime']"""
"Бегущий по лезвию,""8,1"",,1982,""['Action, Drama']"""
"Звёздные войны,""8,6"",,1977,""['Action, Adventure']"""
"Всё о Еве,""8,2"",,1950,[]"
"Индиана Джонс: В поисках утраченного ковчега,""8,4"",,1981,""['Action, Adventure']"""
"Назад в будущее,""8,5"",,1985,""['Adventure, Comedy']"""
"Лоуренс Аравийский,""8,3"",,1962,""['Adventure, Biography']"""
"Челюсти,8,,1975,""['Adventure, Thriller']"""
"12 лет рабства,""8,1"",,2013,""['Biography, Drama']"""
"Квартира,""8,3"",,1960,""['Comedy, Drama']"""
"Китайский квартал,""8,2"",,1974,""['Drama, Mystery']"""
"В джазе только девушки,""8,2"",,1959,""['Comedy, Music']"""
"Кабинет доктора Калигари,""8,1"",,1920,""['Horror, Mystery']"""
"Великий диктатор,""8,4"",,1940,""['Comedy, Drama']"""
"Властелин колец: Братство кольца,""8,8"",,2001,""['Action, Adventure']"""
"Чужой,""8,4"",,1979,""['Horror, Sci']"""
"Искатели,""7,9"",,1956,""['Adventure, Drama']"""
"Андрей Рублёв,""8,1"",,1966,""['Biography, Drama']"""
"В центре внимания,""8,1"",,I) (,""['Biography, Crime']"""
"Однажды на Диком Западе,""8,5"",,1968,[]"
"Лунный свет,""7,4"",,I) (,[]"
"Метрополис,""8,3"",,1927,""['Drama, Sci']"""
"Властелин колец: Возвращение короля,""8,9"",,2003,""['Action, Adventure']"""
"Новые времена,""8,5"",,1936,""['Comedy, Drama']"""
"Чужие,""8,3"",,1986,""['Action, Adventure']"""
"Это случилось однажды ночью,""8,1"",,1934,""['Comedy, Romance']"""
"Лора,8,,1944,""['Drama, Film', 'Noir, Mystery']"""
"Терминатор 2: Судный день,""8,5"",,1991,""['Action, Sci']"""
"Заводной апельсин,""8,3"",,1971,""['Crime, Sci']"""
"Инопланетянин,""7,8"",,1982,""['Adventure, Family']"""
"Носферату, симфония ужаса,""7,9"",,1922,""['Fantasy, Horror']"""
"Белоснежка и семь гномов,""7,6"",,1937,""['Animation, Adventure']"""
"Битва за Алжир,""8,1"",,1966,""['Drama, War']"""
"Великая иллюзия,""8,1"",,1937,""['Drama, War']"""
"На север через северо-запад,""8,3"",,1959,""['Adventure, Mystery']"""
