��������,������,������,���,����

"Зеленая миля,9.1,США,1999,""драма, криминал"""
Побег из Шоушенка,9.1,США,1994,драма
"Властелин колец: Возвращение короля,8.6,""Новая Зеландия, США"",2003,""фэнтези, приключения"""
"Властелин колец: Две крепости,8.6,""Новая Зеландия, США"",2002,""фэнтези, приключения"""
"Властелин колец: Братство Кольца,8.6,""Новая Зеландия, США"",2001,""фэнтези, приключения"""
"Человек-паук: Нет пути домой,8.7,""США, Исландия"",2021,""фантастика, боевик"""
"Форрест Гамп,8.9,США,1994,""драма, комедия"""
"Король Лев,8.8,США,1994,""мультфильм, мюзикл"""
"Интерстеллар,8.6,""Великобритания, Канада"",2014,""фантастика, драма"""
"Иван Васильевич меняет профессию,8.8,СССР,1973,""комедия, фантастика"""
"Тайна Коко,8.6,США,2017,""мультфильм, фэнтези"""
"1+1,8.8,Франция,2011,""драма, комедия"""
"Криминальное чтиво,8.6,США,1994,""криминал, драма"""
"Список Шиндлера,8.8,США,1993,""драма, биография"""
"Начало,8.7,""США, Великобритания"",2010,""фантастика, боевик"""
"ВАЛЛ·И,8.3,США,2008,""мультфильм, фантастика"""
"Карты, деньги, два ствола,8.6,Великобритания,1998,""боевик, комедия"""
"Матрица,8.5,""США, Австралия"",1999,""фантастика, боевик"""
"Клаус,8.6,""Испания, Великобритания"",2019,""мультфильм, семейный"""
"Унесённые призраками,8.4,Япония,2001,""аниме, мультфильм"""
"Назад в будущее,8.6,США,1985,""фантастика, комедия"""
"Джентльмены удачи,8.5,СССР,1971,""комедия, драма"""
"Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,8.6,СССР,1981,""детектив, криминал"""
"Бойцовский клуб,8.6,""США, Германия"",1999,""триллер, драма"""
"Москва слезам не верит,8.4,СССР,1979,""мелодрама, драма"""
"Пираты Карибского моря: Проклятие Черной жемчужины,8.3,США,2003,""фэнтези, боевик"""
"В бой идут одни «старики»,8.7,СССР,1973,""военный, драма"""
"Большой куш,8.5,""Великобритания, США"",2000,""криминал, комедия"""
"Остров проклятых,8.5,США,2009,""триллер, детектив"""
"Операция «Ы» и другие приключения Шурика,8.7,СССР,1965,""комедия, мелодрама"""
"Достучаться до небес,8.6,Германия,1997,""драма, комедия"""
"Шрэк,8.0,""США, Япония"",2001,""мультфильм, фэнтези"""
"Джентльмены,8.5,""Великобритания, США"",2019,""криминал, комедия"""
"...А зори здесь тихие,8.5,СССР,1972,""драма, военный"""
"Брат,8.2,Россия,1997,""драма, криминал"""
"Гладиатор,8.6,""США, Великобритания"",2000,""история, боевик"""
"Невидимая сторона,8.2,США,2009,""драма, спорт"""
"Темный рыцарь,8.5,""США, Великобритания"",2008,""фантастика, боевик"""
"Остров сокровищ,8.2,СССР,1988,""мультфильм, приключения"""
"Поймай меня, если сможешь,8.5,""США, Канада"",2002,""криминал, биография"""
"Душа,8.4,США,2020,""мультфильм, фэнтези"""
"Один дома,8.2,США,1990,""комедия, семейный"""
"Престиж,8.5,""Великобритания, США"",2006,""триллер, фантастика"""
"Крестный отец,8.7,США,1972,""драма, криминал"""
"12 разгневанных мужчин,8.5,США,1956,""драма, детектив"""
"Леон,8.7,""Франция, США"",1994,""боевик, триллер"""
"Терминатор 2: Судный день,8.3,""США, Франция"",1991,""фантастика, боевик"""
"Гарри Поттер и узник Азкабана,8.2,""Великобритания, США"",2004,""фэнтези, приключения"""
"Любовь и голуби,8.3,СССР,1984,""мелодрама, комедия"""
"Гарри Поттер и философский камень,8.2,""Великобритания, США"",2001,""фэнтези, приключения"""
"Одержимость,8.3,США,2013,""драма, музыка"""
"Отступники,8.5,""США, Гонконг"",2006,""триллер, драма"""
"Собачье сердце,8.3,СССР,1988,""фантастика, драма"""
"Игры разума,8.6,США,2001,""драма, биография"""
"Они сражались за Родину,8.4,СССР,1975,""драма, военный"""
"Ходячий замок,8.3,Япония,2004,""аниме, мультфильм"""
"Кавказская пленница, или Новые приключения Шурика,8.5,СССР,1966,""комедия, приключения"""
"Зеленая книга,8.3,""США, Китай"",2018,""биография, комедия"""
"Назад в будущее 2,8.3,США,1989,""фантастика, приключения"""
"Брат 2,8.1,""Россия, США"",2000,""боевик, криминал"""
"Служебный роман,8.3,СССР,1977,""мелодрама, комедия"""
"Твоё имя,8.3,Япония,2016,""аниме, мультфильм"""
"Джанго освобожденный,8.2,США,2012,""вестерн, боевик"""
"Титаник,8.4,""США, Мексика"",1997,""мелодрама, история"""
"Жизнь прекрасна,8.6,Италия,1997,""военный, комедия"""
"Шерлок Холмс и доктор Ватсон: Знакомство,8.6,СССР,1979,""криминал, детектив"""
"Офицеры,8.5,СССР,1971,""драма, военный"""
"Волк с Уолл-стрит,7.9,США,2013,""драма, криминал"""
"Корпорация монстров,8.1,США,2001,""мультфильм, фэнтези"""
"Пианист,8.5,""Франция, Польша"",2002,""драма, военный"""
"Молчание ягнят,8.3,США,1990,""триллер, детектив"""
"Рататуй,8.0,США,2007,""мультфильм, приключения"""
"Стальной гигант,8.1,США,1999,""мультфильм, фантастика"""
"Укрощение строптивого,8.4,Италия,1980,""мелодрама, комедия"""
"Звёздные войны: Эпизод 3 – Месть ситхов,8.1,США,2005,""фантастика, боевик"""
"Бриллиантовая рука,8.5,СССР,1968,""комедия, приключения"""
"Шоу Трумана,8.3,США,1998,""драма, комедия"""
"Тайна третьей планеты,8.1,СССР,1981,""мультфильм, фантастика"""
"Хоббит: Нежданное путешествие,8.1,""Новая Зеландия, США"",2012,""фэнтези, приключения"""
"Омерзительная восьмерка,7.9,США,2015,""вестерн, криминал"""
"Гарри Поттер и Дары Смерти: Часть II,8.1,""Великобритания, США"",2011,""фэнтези, драма"""
"Гран Торино,8.1,""США, Германия"",2008,драма"
"По соображениям совести,8.0,""Австралия, США"",2016,""драма, военный"""
Американская история X,8.3,США,1998,драма
"Общество мертвых поэтов,8.2,США,1989,""драма, комедия"""
"Зверополис,8.3,США,2016,""мультфильм, комедия"""
"Храброе сердце,8.3,США,1995,""история, биография"""
"День сурка,8.1,США,1993,""фэнтези, мелодрама"""
"Девчата,8.4,СССР,1962,""мелодрама, комедия"""
"Семь,8.3,США,1995,""триллер, драма"""
"Шрэк 2,7.7,США,2004,""мультфильм, фэнтези"""
"Хатико: Самый верный друг,8.3,""США, Великобритания"",2008,""драма, семейный"""
"Мулан,8.1,США,1998,""мультфильм, мюзикл"""
"Принцесса Мононоке,8.2,Япония,1997,""аниме, мультфильм"""
"Головоломка,8.0,США,2015,""мультфильм, семейный"""
"Вверх,8.0,США,2009,""мультфильм, драма"""
"Гарри Поттер и Тайная комната,8.1,""Великобритания, США"",2002,""фэнтези, приключения"""
"Аладдин,8.1,США,1992,""мультфильм, мюзикл"""
"Судьба человека,8.4,СССР,1959,""драма, военный"""
"В джазе только девушки,8.5,США,1959,""мелодрама, комедия"""
"Эффект бабочки,8.2,""США, Канада"",2003,""фантастика, триллер"""
"Тренер Картер,8.1,""США, Германия"",2005,""биография, спорт"""
"Ford против Ferrari,8.2,США,2019,""биография, спорт"""
"Адвокат дьявола,8.2,""США, Германия"",1997,""триллер, фэнтези"""
"Игра,8.3,США,1997,""триллер, драма"""
"Семь жизней,8.2,США,2008,""драма, мелодрама"""
Пролетая над гнездом кукушки,8.5,США,1975,драма
"Пираты Карибского моря: Сундук мертвеца,8.1,США,2006,""фэнтези, боевик"""
"Пробуждение,8.4,США,1990,""драма, биография"""
"Песнь моря,8.1,""Ирландия, Дания"",2014,""мультфильм, фэнтези"""
"Райя и последний дракон,8.2,США,2021,""мультфильм, фэнтези"""
"Звёздные войны: Эпизод 5 – Империя наносит ответный удар,8.1,""США, Великобритания"",1980,""фантастика, боевик"""
"Двухсотлетний человек,8.0,""США, Германия"",1999,""фантастика, драма"""
"Терминал,8.1,США,2004,""драма, мелодрама"""
"Унесенные ветром,8.4,США,1939,""мелодрама, история"""
"Пятый элемент,8.1,""Франция, Великобритания"",1997,""фантастика, боевик"""
"Железный человек,7.9,""США, Канада"",2008,""фантастика, боевик"""
"Эрнест и Селестина: Приключения мышки и медведя,8.0,""Франция, Бельгия"",2012,""мультфильм, фэнтези"""
"Назад в будущее 3,8.2,США,1990,""фантастика, комедия"""
"Невероятный мир глазами Энцо,8.1,США,2019,""драма, мелодрама"""
"Легенда о волках,8.2,""Ирландия, Люксембург"",2020,""мультфильм, фэнтези"""
"Мемуары гейши,8.0,""Франция, Япония"",2005,""драма, мелодрама"""
Запах женщины,8.4,США,1992,драма
"Король говорит!,8.0,""Великобритания, США"",2010,""драма, биография"""
"Таксист,8.1,Корея Южная,2017,""история, драма"""
"Хороший, плохой, злой,8.5,""Италия, Испания"",1966,""приключения, вестерн"""
"Человек-паук: Через вселенные,8.0,США,2018,""мультфильм, фантастика"""
"Хоббит: Пустошь Смауга,8.0,""Новая Зеландия, США"",2013,""фэнтези, приключения"""
Белый Бим Черное ухо,8.4,СССР,1976,драма
"Мой сосед Тоторо,8.2,Япония,1988,""аниме, мультфильм"""
"Изгой,8.3,США,2000,""драма, мелодрама"""
"Добро пожаловать, или Посторонним вход воспрещен,8.3,СССР,1964,""комедия, семейный"""
"Мадагаскар,7.9,США,2005,""мультфильм, комедия"""
"Мстители: Война бесконечности,7.9,США,2018,""фантастика, боевик"""
"Спасти рядового Райана,8.2,США,1998,""военный, драма"""
"Пираты Карибского моря: На краю света,8.0,США,2007,""приключения, боевик"""
"Загадочная история Бенджамина Баттона,8.1,США,2008,""драма, фэнтези"""
"Спирит: Душа прерий,8.1,США,2002,""мультфильм, драма"""
"Хоббит: Битва пяти воинств,7.8,""Новая Зеландия, США"",2014,""фэнтези, приключения"""
"Тот самый Мюнхгаузен,8.3,СССР,1979,""фэнтези, драма"""
"Стражи Галактики,7.8,США,2014,""фантастика, боевик"""
"Форма голоса,8.1,Япония,2016,""аниме, мультфильм"""
"Один дома 2: Затерянный в Нью-Йорке,8.0,США,1992,""комедия, семейный"""
"Доктор Лиза,8.1,Россия,2020,""драма, биография"""
"Бесславные ублюдки,7.9,""США, Германия"",2009,""боевик, драма"""
"Война,7.9,Россия,2002,""боевик, драма"""
"Звёздные войны: Эпизод 6 – Возвращение Джедая,8.1,""США, Великобритания"",1983,""фантастика, боевик"""
Прислуга,8.2,США,2011,драма
"Звёздные войны: Эпизод 4 – Новая надежда,8.1,""США, Великобритания"",1977,""фантастика, боевик"""
Человек дождя,8.2,США,1988,драма
"Балто,8.3,""США, Великобритания"",1995,""мультфильм, драма"""
"Вторая жизнь Уве,8.0,Швеция,2015,""драма, мелодрама"""
"Троя,8.0,""США, Мальта"",2004,""боевик, история"""
"Такси,7.9,Франция,1998,""боевик, комедия"""
"В поисках Немо,7.9,США,2003,""мультфильм, комедия"""
"Мальчик в полосатой пижаме,8.2,""Великобритания, США"",2008,""драма, военный"""
"Летят журавли,8.3,СССР,1957,""военный, мелодрама"""
"Люди в черном,8.0,США,1997,""фантастика, боевик"""
"Славные парни,8.1,США,1990,""драма, криминал"""
"Достать ножи,8.0,США,2019,""детектив, комедия"""
"Шерлок Холмс и доктор Ватсон: Сокровища Агры,8.3,СССР,1983,""мелодрама, криминал"""
"Аватар,7.9,""США, Великобритания"",2009,""фантастика, боевик"""
"Труп невесты,7.8,""США, Великобритания"",2005,""мультфильм, мюзикл"""
"Счастливое число Слевина,8.1,""США, Канада"",2005,""триллер, драма"""
"Профессионал,8.1,Франция,1981,""боевик, триллер"""
"Красавица и чудовище,8.3,США,1991,""мультфильм, мюзикл"""
"Дело храбрых,8.0,США,2017,""боевик, драма"""
"Крестный отец 2,8.5,США,1974,""драма, криминал"""
"История игрушек,7.9,США,1995,""мультфильм, фэнтези"""
"Мимино,8.1,СССР,1977,""драма, комедия"""
"Далласский клуб покупателей,7.9,США,2013,""драма, биография"""
"Гордость и предубеждение,8.0,""Великобритания, Франция"",2005,""драма, мелодрама"""
"Ледниковый период,8.0,США,2002,""мультфильм, фэнтези"""
"Отель «Гранд Будапешт»,7.9,""США, Германия"",2014,""комедия, приключения"""
"Дом у озера,7.8,США,2006,""фэнтези, драма"""
"Остров собак,8.1,""США, Германия"",2018,""мультфильм, фантастика"""
"Военный ныряльщик,8.1,США,2000,""драма, биография"""
"Рок-н-рольщик,7.8,""Великобритания, США"",2008,""криминал, боевик"""
"12 стульев,8.2,СССР,1971,""комедия, приключения"""
"Берегись автомобиля,8.2,СССР,1966,""криминал, комедия"""
"Блеф,8.2,Италия,1976,""комедия, криминал"""
"Вам и не снилось...,8.2,СССР,1980,""драма, мелодрама"""
"Иди и смотри,8.1,СССР,1985,""драма, военный"""
"Богемская рапсодия,8.0,""Великобритания, США"",2018,""биография, музыка"""
"Три билборда на границе Эббинга, Миссури,8.2,""Великобритания, США"",2017,""драма, криминал"""
"Темный рыцарь: Возрождение легенды,8.1,""Великобритания, США"",2012,""фантастика, боевик"""
"Исчезнувшая,8.0,США,2014,""триллер, драма"""
"Человек-паук,7.6,США,2002,""фантастика, боевик"""
Заплати другому,8.1,США,2000,драма
"Как приручить дракона,8.2,США,2010,""мультфильм, фэнтези"""
Дурак,8.1,Россия,2014,драма
"Знакомьтесь, Джо Блэк,8.0,США,1998,""мелодрама, фэнтези"""
"Анастасия,8.1,США,1997,""мультфильм, мюзикл"""
Судья,7.9,США,2014,драма
"Шерлок Холмс и доктор Ватсон: Кровавая надпись,8.4,СССР,1979,""криминал, детектив"""
"Линкольн для адвоката,7.8,США,2011,""криминал, триллер"""
"Индиана Джонс и последний крестовый поход,8.1,США,1989,""приключения, боевик"""
"В погоне за счастьем,8.2,США,2006,""драма, биография"""
"Трасса 60,8.0,""Канада, США"",2001,""фантастика, фэнтези"""
"Бешеные псы,8.1,США,1991,""криминал, драма"""
"Мстители,7.9,США,2012,""фантастика, боевик"""
"Последний самурай,8.1,""США, Новая Зеландия"",2003,""боевик, драма"""
"Умница Уилл Хантинг,8.1,США,1997,""драма, мелодрама"""
"Маска,8.0,США,1994,""комедия, фэнтези"""
"Привидение,8.2,США,1990,""мелодрама, фэнтези"""
"Хранители,7.6,США,2009,""фантастика, боевик"""
"Однажды в Америке,8.3,""Италия, США"",1983,""драма, криминал"""
"Бесподобный мистер Фокс,7.9,""США, Великобритания"",2009,""мультфильм, драма"""
"Гонка,8.1,""Великобритания, Германия"",2013,""спорт, драма"""
